0:[[4227, 4409], [4468, 4338], [4227, 4338]]
0:[[4227, 4409], [4413.373, 4409], [4468, 4338]]
0:[[1285, 4409], [1285, 4338], [1526, 4338]]
0:[[1285, 4409], [1526, 4338], [1471.3733, 4409]]
0:[[1431, 3214], [1502, 3214], [1431, 3382]]
0:[[1431, 3382], [1502, 3214], [1502, 3382]]
0:[[1025, 3213], [1266, 3213], [1025, 3381]]
0:[[1025, 3381], [1266, 3213], [1266, 3381]]
1:[[4528, 4155], [4300, 4122.8125], [4438.0845, 4145.3438]]
1:[[4528, 4155], [4354.592, 4052], [4300, 4122.8125]]
1:[[4528, 4155], [4528, 4100.2812], [4354.592, 4052]]
1:[[3172, 4156], [3082.0845, 4146.3438], [2944, 4123.8125]]
1:[[3172, 4156], [2944, 4123.8125], [2998.5916, 4053]]
1:[[3172, 4156], [2998.5916, 4053], [3172, 4101.2812]]
1:[[2847, 3210], [3027, 3210], [2847, 3378]]
1:[[2847, 3378], [3027, 3210], [3027, 3378]]
1:[[2903, 3378], [2958, 3378], [2903, 3546]]
1:[[2903, 3546], [2958, 3378], [2958, 3546]]
2:[[4271.2856, 3688], [4207, 3649.5454], [4207, 3688]]
2:[[4271.2856, 3688], [4207, 3547], [4207, 3649.5454]]
2:[[4271.2856, 3688], [4297, 3556.6138], [4207, 3547]]
2:[[4271.2856, 3688], [4297, 3636.727], [4297, 3556.6138]]
2:[[4271.2856, 3688], [4297, 3688], [4297, 3636.727]]
2:[[4361.2856, 3688], [4297, 3688], [4297, 3649.5454]]
2:[[4361.2856, 3688], [4297, 3649.5454], [4297, 3547]]
2:[[4361.2856, 3688], [4297, 3547], [4387, 3556.6138]]
2:[[4361.2856, 3688], [4387, 3556.6138], [4387, 3636.727]]
2:[[4361.2856, 3688], [4387, 3636.727], [4387, 3688]]
2:[[1350, 3350], [1431, 3350], [1350, 3382]]
2:[[1350, 3382], [1431, 3350], [1431, 3382]]
2:[[2958, 3378], [3010, 3378], [2958, 3546]]
2:[[2958, 3546], [3010, 3378], [3010, 3546]]
2:[[3948, 3213], [3974, 3213], [3948, 3381]]
2:[[3948, 3381], [3974, 3213], [3974, 3381]]
3:[[5099, 4479], [5119, 4440], [5099, 4440]]
3:[[5099, 4479], [5119, 4479], [5119, 4440]]
3:[[3090, 4455], [3090, 4416], [3110, 4416]]
3:[[3090, 4455], [3110, 4416], [3110, 4455]]
3:[[1311, 3210], [1350, 3210], [1311, 3216.4219]]
3:[[1311, 3216.4219], [1350, 3210], [1350, 3216.4219]]
3:[[2761, 3210], [2781, 3210], [2761, 3385]]
3:[[2761, 3385], [2781, 3210], [2781, 3385]]
4:[[4192, 4494], [4205, 4455], [4192, 4455]]
4:[[4192, 4494], [4205, 4494], [4205, 4455]]
4:[[3257, 4497], [3257, 4458], [3270, 4458]]
4:[[3257, 4497], [3270, 4458], [3270, 4497]]
4:[[319, 3207], [358, 3207], [319, 3213.407]]
4:[[319, 3213.407], [358, 3207], [358, 3213.407]]
4:[[1921, 3208], [1934, 3208], [1921, 3389]]
4:[[1921, 3389], [1934, 3208], [1934, 3389]]
5:[[1574, 4498], [1587, 4459], [1574, 4459]]
5:[[1574, 4498], [1587, 4498], [1587, 4459]]
5:[[3270, 4497], [3270, 4458], [3283, 4458]]
5:[[3270, 4497], [3283, 4458], [3283, 4497]]
5:[[1227, 3024], [1266, 3024], [1227, 3030.4275]]
5:[[1227, 3030.4275], [1266, 3024], [1266, 3030.4275]]
5:[[1266, 3024], [1279, 3024], [1266, 3212]]
5:[[1266, 3212], [1279, 3024], [1279, 3212]]
6:[[3090, 4494], [3106, 4455], [3090, 4455]]
6:[[3090, 4494], [3106, 4494], [3106, 4455]]
6:[[4941, 4489], [4941, 4450], [4957, 4450]]
6:[[4941, 4489], [4957, 4450], [4957, 4489]]
6:[[651, 3022], [690, 3022], [651, 3026.8]]
6:[[651, 3026.8], [690, 3022], [690, 3026.8]]
6:[[976, 3024], [992, 3024], [976, 3216]]
6:[[976, 3216], [992, 3024], [992, 3216]]
7:[[2782, 4460], [2734, 4415], [2734, 4460]]
7:[[2782, 4460], [2782, 4415], [2734, 4415]]
7:[[2830, 4460], [2782, 4460], [2782, 4415]]
7:[[2830, 4460], [2782, 4415], [2830, 4415]]
7:[[5041, 3823], [5089, 3823], [5041, 3935]]
7:[[5041, 3935], [5089, 3823], [5089, 3935]]
8:[[2323, 4461], [2278, 4416], [2278, 4461]]
8:[[2323, 4461], [2323, 4416], [2278, 4416]]
8:[[2368, 4461], [2323, 4461], [2323, 4416]]
8:[[2368, 4461], [2323, 4416], [2368, 4416]]
8:[[937, 3544], [982, 3544], [937, 3688]]
8:[[937, 3688], [982, 3544], [982, 3688]]
9:[[2968, 4500], [2904, 4458], [2904, 4500]]
9:[[2968, 4500], [2968, 4458], [2904, 4458]]
9:[[3282, 4458], [3218, 4458], [3218, 4416]]
9:[[3282, 4458], [3218, 4416], [3282, 4416]]
10:[[484, 4492], [420, 4485], [420, 4492]]
10:[[484, 4492], [484, 4485], [420, 4485]]
10:[[3347, 4495], [3283, 4495], [3283, 4488]]
10:[[3347, 4495], [3283, 4488], [3347, 4488]]
10:[[5105, 3210], [5112, 3210], [5105, 3378]]
10:[[5105, 3378], [5112, 3210], [5112, 3378]]
10:[[5098, 3210], [5105, 3210], [5098, 3378]]
10:[[5098, 3378], [5105, 3210], [5105, 3378]]
11:[[484, 4485], [548, 4492], [548, 4485]]
11:[[484, 4485], [484, 4492], [548, 4492]]
11:[[356, 4485], [420, 4485], [420, 4492]]
11:[[356, 4485], [420, 4492], [356, 4492]]
11:[[5112, 3210], [5119, 3210], [5112, 3378]]
11:[[5112, 3378], [5119, 3210], [5119, 3378]]
11:[[1266, 3212], [1273, 3212], [1266, 3380]]
11:[[1266, 3380], [1273, 3212], [1273, 3380]]
12:[[4740, 3685], [4538.284, 3544], [4391, 3544]]
12:[[2768, 3688], [2419, 3547], [2566.2844, 3547]]
12:[[2747, 0], [3124, 0], [2747, 320]]
12:[[2747, 320], [3124, 0], [3124, 320]]
12:[[2293, 1280], [2441, 1280], [2293, 1376]]
12:[[2293, 1376], [2441, 1280], [2441, 1376]]
12:[[2293, 1536], [2441, 1536], [2293, 1600]]
